C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
CDK7,0.711096868,-0.67718977,DRG1,0.473221082,-0.14307247,MAP3K7,0.733347037,-0.1884516,WWP2,0.72276591,-0.48101723,ARFGAP2,0.349350658,-0.36889166,TRIQK,0.864728872,-23.702581,TIMM50,0.864505792,-0.13740534,BACH2,0.888713337,-0.32610255,LEF1,0.743762754,-0.6696108
COX11,0.710948024,-0.09414287,SLC2A1,0.473074565,-0.6321985,TNFAIP1,0.733289838,-1.1312548,ARSG,0.722658915,-0.4875337,SNRNP25,0.349326739,-0.63074696,MTFR2,0.864728872,-22.785532,EXD3,0.864390943,-0.933885,ZNF248,0.888889675,-0.23949367,TNFSF8,0.743794411,-0.5982073
CHFR,0.710913677,-0.14791666,CYB5D2,0.472990853,-1.0760726,ZRANB2,0.733146848,-0.04543163,PPP1R12C,0.722506074,-1.0955452,MBD5,0.349278904,-2.0424857,STIL,0.864728872,-23.052517,PDLIM4,0.864276096,-0.8528143,SLC30A1,0.889550991,-0.14946909,WHAMM,0.744522645,0.28898808
SUPT7L,0.710844985,-0.19780599,CD14,0.472959463,-0.7670315,CALD1,0.733018165,-0.29289776,C11orf21,0.722429658,-0.57922477,DAP,0.349135423,-1.0883728,ZNF80,0.864728872,-23.691256,CLN5,0.863969853,-0.38405213,ZEB2,0.889903725,-0.33471718,MCF2L2,0.744966029,0.9180587
ESCO2,0.71081064,-2.445598,KCNN4,0.472792068,-1.8139663,FUCA2,0.732560687,-0.26830733,PARL,0.722414375,-0.10921976,AP3B1,0.348776886,-1.3518631,PDE1B,0.864728872,-23.385298,VPS8,0.863357427,-0.27833816,CEP120,0.889947818,-0.28404692,MTHFR,0.745092726,0.06537724
KIF2C,0.71081064,-2.3827732,MOGS,0.472300537,-0.67581296,ARL3,0.732446332,-0.18704762,CTR9,0.722124022,-0.09378954,CIRBP,0.348764938,-0.31257543,ALDH1A3,0.864728872,-23.888445,TNS4,0.863089516,-23.50539,XPO5,0.889947818,0.3913686,PARP12,0.745156077,-0.15746482
DDX28,0.710776295,-0.3871281,DTX3L,0.472227354,-0.45459905,EPHA1,0.732446332,-0.8116762,YIPF2,0.722017059,-0.34654093,PRRC2B,0.348633536,-0.4261433,MIEF2,0.864673076,-1.7207544,IL23R,0.863089516,-23.677982,CDT1,0.890631306,0.5194941,MAGIX,0.745662947,0.18082292
CKAP2L,0.710764847,-2.3887227,KLHL7,0.472091459,-1.2506298,DPM2,0.732389157,-0.06035821,EXOSC2,0.721894823,-0.675122,QDPR,0.348621592,-1.0259303,KTI12,0.864598682,-0.6703856,SAMD4A,0.863089516,-23.813305,TROAP,0.890807704,0.260594,ACVR2A,0.745916423,0.48257798
SAAL1,0.710581687,-0.30422762,CXXC1,0.472039198,-0.24073516,KRTCAP3,0.73221764,-1.0502783,EXOSC10,0.721879544,-0.38584825,ZC3H7A,0.348454402,-0.6504234,COL11A1,0.864487093,-1.8148177,RYR1,0.863089516,-23.616282,INSR,0.890895904,0.46271452,AP3S2,0.745916423,0.21361353
GIGYF1,0.71057024,-0.34007385,GPS2,0.471934685,-0.41870221,ERGIC3,0.732003264,-0.026922999,PPCDC,0.721803151,-0.7178137,MRPS30,0.348382765,-0.5668859,ENC1,0.864468496,-1.1122935,HOOK1,0.863089516,-23.607588,DDX31,0.891028208,0.4658641,PCDH11X,0.746011484,4.0898395
