Fairfax_response_down_responder	Fairfax_response_up_Non_responder
FIBP	AC233300.1
WRAP53	SLC4A7
ACYP2	AC055822.1
GPKOW	VMP1
ZFYVE28	ZDHHC2
ARMCX6	FZD3
CTDP1	AHR
AL135818.1	RNF138
LRRC8A	ELL2
DCPS	RFX3
MRPL11	PANK3
C11orf68	RBPJ
CERK	IPMK
NR2C2AP	SEPSECS
TINF2	AL365361.1
NDUFS6	AL121772.3
MAP7D1	CPEB4
PIAS4	SLC25A40
TOMM40	PDCL3P4
CPT2	LY75
PEX10	NA
PSMC3	AC026471.4
CLTA	IFT80
IL32	LPAR6
SMAP1	INO80D
INCENP	DENND1B
AKR1B1	SLC5A3
MAP2K2	AC012020.1
IRF2BPL	GHRLOS
RUVBL1	BRWD3
KIAA2013	KATNBL1
AC092115.1	RAP2C-AS1
TRAPPC6A	ORMDL1
PMVK	AC015911.3
ARMC7	MAP3K21
DUSP14	C1GALT1
SF3A2	USP15
AC020910.6	PKD2
MUS81	SRSF11
MRPL58	ASPH
NDUFA13	RUNX2
CLTB	ZC3H12B
SGTA	EEF1E1
TLK2P1	TMEM33
FOXO3B	AL021368.2
SEPTIN9	Z99129.4
JMJD8	TRMT13
ARIH2OS	PPP1R2
DNAJB5	FLVCR1
DNAJC30	FMR1
FXR2	AC005332.2
C16orf91	AC016957.2
APRT	TMED2-DT
SCAF1	ANK3
HRAS	BMP2K
MRPL17	DYNLT3
EIF3C	HOOK1
BCL9L	NAA16
BNIP1	HNRNPA1P48
TLE5	CAPN3
APOBEC3C	ZNF529
CDC25B	HPSE
C19orf53	EDRF1-AS1
NMRAL1	SDCBP2-AS1
NPC1	PHIP
UNG	AC004918.1
SURF6	HOTAIRM1
LRWD1	EIF2AK2
RPL23AP7	BCL2L2
TMEM107	LRRC39
ZNF296	PAQR3
ASMTL	SYNJ2BP
DOLPP1	AL606834.2
GTF2I	RCHY1
RPUSD2	HELB
ALDOC	TAS2R5
POLD2	ETNK1
MBD3	ACTA2-AS1
CTPS1	AGBL3
ZCCHC3	TMX3
SLC41A3	HEATR3
PCIF1	AL109811.2
MED30	AC093110.1
POLDIP2	AC090948.2
RALY	LYSMD3
EVI5L	TTN-AS1
SNAP47	IL1RAP
ZNF830	AQP11
PCBD1	AC016727.1
ACAT2	METTL7A
UBXN6	AC104118.1
HGH1	SATB1-AS1
PSMA7	TMOD2
ATG4D	AP001273.1
JTB	ADNP-AS1
AL450326.1	TRAPPC6B
LIPE	ZNF518A
WRNIP1	RHOQ
PAOX	SRGAP2C
SNRPD2	AL049840.2
MXD4	AC024896.1
CDKN2D	LRRC58
SLC10A3	DCUN1D4
YPEL3	AC093297.2
PSMC4	POLI
PSMD8	DPY19L3
TBC1D22A	CPEB2
ITGB7	AC005674.2
MRPL36	RSKR
THAP11	MAP3K1
BCKDHA	PI4K2B
SMG8	MASP2
ELOB	RUSC1-AS1
COMMD4	ZDHHC17
MCM3	PSMA3-AS1
SPHK2	AC093010.3
EIF3CL	AGFG1
CHID1	QKI
TFPT	ASAH1
RTL8C	ZBTB37
SLC29A3	SOCS4
PNP	TM9SF3
TMEM223	ZNF605
USE1	BORCS7
TMEM203	PCGF5
TUFM	DNM3
MPND	BROX
RRP1	CPSF6
PCYT2	AC007485.2
TWF2	DAPP1
BSG	AC097376.3
PIN4	ZNF22
APMAP	GNPDA2
HNRNPAB	TRG-AS1
SLC25A23	HCG11
RPP38	SLC44A1
PPM1G	HNRNPH1
GALM	CHML
RALGDS	GLS
YIF1A	AF131215.6
ACTN4	RC3H1
EFNA4	LYPLA1
PPP2R5D	RPL36A
PAF1	MOSMO
YPEL1	AC021106.1
NDUFAF2	GARS-DT
CFAP20	DCP2
NUDC	PAXBP1-AS1
FKBP2	LPP
CHST11	NA
IFI27L2	AC005034.3
FAAP20	THAP6
TPRN	TWF1
PUF60	CD47
OCEL1	C11orf71
SNRPB	NDFIP2
NDUFS5	ADAT2
ATP5MC2	AL121985.1
ABHD14A	AC020907.4
VAMP8	EAF2
GYPC	LINC-PINT
SEMA4C	FAM76B
RNF167	AC090589.3
ZNF79	FRA10AC1
BCOR	AL049840.5
PPP1CA	CLK1
CSNK1E	BCLAF3
CSK	NDUFC2
IL16	CCNC
CALHM2	C21orf91
UBL4A	MAP9
NPRL3	PIGA
MRTO4	ELK4
JAGN1	OSBPL8
OGDH	TAF9B
RFXANK	ZDHHC20
MRPL51	ITGB3BP
AP001000.1	RBM34
FBXL19	SPOPL
RHBDD2	SEMA3F-AS1
PAK4	AC008676.1
TCF3	THAP5
C16orf54	LUC7L3
ZCRB1	PAXBP1
SLC25A11	TBC1D32
PRDX2	TMEM263
PRPF19	CLDND1
MEPCE	ERO1A
DMWD	SLC35F5
PRDX5	AL133243.3
ATP5ME	STYX
