C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
MRPL14,0.848606357,-0.08294234,ATPAF1,0.145147636,-0.5339903,CERK,0.180716746,-0.5665081,TBL1X,0.853632991,-0.3839532,SPG11,0.528460108,-0.31439626,LCORL,0.950730618,-0.4447938,GK5,0.852028578,-0.3780351,BMPR2,0.954239389,-0.35441595,IFT140,0.922728588,0.8005256
TSPAN4,0.848572384,-0.3733052,KIF3B,0.145141625,-0.82130367,CLDN3,0.18047126,-0.87768376,CASK,0.853526793,-0.31485167,IRS2,0.528304048,-0.74244064,ZNF260,0.950239787,-0.48859498,RDH14,0.851904387,-0.23450835,ZNF714,0.953891786,-0.38203895,RASEF,0.9227832,0.5942095
RNF123,0.848512933,-0.25190404,C1orf50,0.145066502,-0.4976651,CARS2,0.18043104,-1.187942,CCDC77,0.853503194,-0.47258097,QRICH1,0.528161014,-0.62019044,TP53BP2,0.949924263,-0.5653885,TNNC2,0.851868905,-0.7756532,RFC3,0.953842129,-0.4262417,UBTD1,0.9227832,0.515591
ZNF583,0.848495948,-0.5387701,UVRAG,0.144718318,-0.6806835,CSF2,0.180306401,-5.113594,TRAFD1,0.853408799,-0.18575789,ATP6AP1,0.528083003,-0.20594466,RNF144B,0.949924263,-0.66145384,PIK3C2B,0.851833422,-1.2182554,KCNN4,0.953643503,-0.2124706,SIPA1L2,0.9227832,0.87220806
DCUN1D1,0.848487455,-0.18574563,SEMA4A,0.144670343,-1.9339569,PLSCR1,0.179924839,-0.28662974,CNP,0.852854269,-0.09848548,BLOC1S6,0.528030999,-0.27387756,ERMAP,0.949889205,-0.7470356,SFRP4,0.85115932,-1.4932624,KLHL8,0.953569019,-0.24469541,RHOBTB2,0.922837811,0.0789842
LYN,0.848428005,-0.58887416,FGL2,0.14457443,-1.2589841,SMIM15,0.1799128,-0.19512536,CCR5,0.852854269,-0.1231603,CSTF3,0.527888003,-0.35727006,AGAP9,0.949854148,-0.6359508,SLPI,0.85115932,-0.6301752,HAPLN3,0.953494536,-0.40485314,ZKSCAN3,0.922837811,0.5695628
CARF,0.848190216,-0.23673886,WDR46,0.144502526,-0.30928403,DDX56,0.17988471,-0.38645077,ALKBH4,0.852724496,-0.07303516,ZNF83,0.527446137,-0.56127,SLC7A7,0.949748975,-0.7245733,MTERF1,0.851123844,-0.8561608,ABHD8,0.953469708,-0.21412294,SH2D1B,0.922892424,0.1479162
FBXO30,0.848122278,-0.5612971,TYK2,0.144254073,-0.6567426,ATXN7L3B,0.179872672,-0.49630663,CXorf65,0.852700901,-0.44142187,C12orf29,0.527264248,-0.82115084,PARM1,0.949608747,-0.9447272,UTY,0.851052893,-1.5450536,HDAC8,0.95344488,-0.1837478,ANKS6,0.922892424,0.14803904
RAD54B,0.848105294,-0.927888,STAT5B,0.144194253,-0.33183342,TMEM205,0.179856623,-0.24324015,SLC9A9,0.852323404,-0.022100313,CERS2,0.527251257,-0.26206428,ZNF19,0.949608747,-0.8948058,ZNF708,0.851035156,-0.46775296,NCOR2,0.953395225,-0.32333586,ZNF470,0.922892424,0.3813635
ZNF225,0.848020374,-1.0888476,COCH,0.143629899,-2.132271,DHX15,0.17982854,-0.2639666,THY1,0.852205443,-0.6029437,STARD10,0.52684862,-0.83010906,AACS,0.94957369,-0.5597741,TRIM21,0.851017418,-0.48794064,COG7,0.952997989,-0.23475845,KRBA2,0.922892424,0.025009122
ARHGAP33,0.847926965,-0.21575229,ZNF518A,0.143486841,-0.3768399,PSMG1,0.179784415,-0.4485218,POLR3K,0.851993122,-0.052995317,CLSTN3,0.526796678,-0.60467464,EME2,0.949538633,-0.9004496,B3GLCT,0.850981943,-1.5984043,TMEM209,0.952749723,-0.40570185,MS4A4A,0.922892424,-0.32767856
CCDC85C,0.84785054,-1.1874968,UBR7,0.143323054,-1.1826739,ACADM,0.179612006,-0.2511674,PJA1,0.851957736,-0.6107139,ATP1B1,0.526770708,-0.33592004,IGSF22,0.949503577,-0.37330762,LTC4S,0.850910994,-0.8040663,DCLRE1C,0.95270007,-0.45757127,ZNF717,0.922947036,-0.27662814
SLC38A9,0.84785054,-0.4618902,GNB1L,0.14329329,-0.7641658,DPYSL2,0.179487787,-0.7108961,PRDM8,0.851721838,-0.62296754,LUZP1,0.52660192,-0.2735154,ARL14,0.94946852,-1.1447033,ANO10,0.850875521,-1.6277668,ZSCAN26,0.952675244,-0.7113696,RAB12,0.922947036,-1.4046578
AXIN2,0.847782608,-1.2119193,SLC25A36,0.14329329,-0.38659015,HIPK2,0.179131514,-1.5921737,CDK7,0.851143944,-0.25991434,KLF5,0.526537009,-2.1970081,NBPF1,0.949433464,-1.2478812,ZNF212,0.850698155,-0.96571726,HAUS5,0.952104252,-1.4434305,BANK1,0.922947036,0.32793382
ZNF48,0.847697695,-0.21121716,SIPA1L1,0.14325758,-0.5450811,AAMDC,0.179131514,-0.8138198,HCCS,0.851073187,-0.09862471,MRPL21,0.526381239,-0.10134921,C1orf61,0.949328295,-1.4581553,MED26,0.850485327,-0.9097453,GRK4,0.952054601,-0.7113333,LRRC56,0.922947036,-0.19817893
EXOSC10,0.84748542,-0.21042493,KAT6B,0.143215926,-0.35717356,CASP1,0.179091516,-0.13104509,SLC2A11,0.850695837,-0.530189,NF2,0.526251448,-0.86525345,ZC3H18,0.949328295,-0.2668856,GOSR2,0.850449857,-0.22964361,OPA3,0.952054601,-0.46065372,DOCK7,0.922947036,-1.0008223
MCF2L,0.847222215,-1.7524866,OPA1,0.142984027,-0.7643636,RAB11B,0.178939585,-0.1273081,AKAP10,0.850648671,-0.24811603,UQCR10,0.526199536,-0.15422642,CBX7,0.949240655,-0.28038225,ZMYM6,0.850307979,-0.5946968,RASGEF1A,0.951955301,-0.6807016,MT1A,0.922947036,0.0699643
PI4K2A,0.847162784,-0.36171776,MTIF2,0.142604098,-1.0518407,EIF2B2,0.178899619,-0.66536444,THEM6,0.850636879,-0.34372598,TANGO2,0.526147627,-0.8580835,FOCAD,0.948977738,-0.62396216,FADS2,0.850237041,-0.9284203,RBP5,0.951880827,-22.578812,BRSK1,0.922947036,-0.5182412
FANCM,0.847069394,-0.54614407,USE1,0.142426274,-0.2594738,ANTXR2,0.178520274,-0.75310963,NISCH,0.850283149,-0.2057161,PIKFYVE,0.525991916,-0.68246776,ZCCHC4,0.948451922,-0.53348523,WARS2,0.85009517,-0.56673795,ACAD11,0.951880827,-22.742338,CLEC14A,0.922947036,-0.6596914
NAE1,0.847052414,-0.1342433,POGZ,0.142221986,-0.41006657,ATIC,0.178368704,-0.28284913,TRIM29,0.850118085,-23.160807,MDN1,0.525965966,-1.2937555,RBM38,0.948434395,-0.26489863,ZNF18,0.849917839,-0.59838015,IL3RA,0.951880827,-22.747833,EGFR,0.922947036,-0.080153055
